"barcode","qty"
"8850000005545","1"
"8850000007860","1"
"8850000007859","1"
"8850000007861","1"
"8850000007876","1"
"8850000007875","1"
"8850000007874","1"
"8850000007877","1"
"8850000007880","1"
"8850000007879","1"
"8850000007878","1"
"8850000007881","1"
"8850000009837","1"
"8850000009835","1"
"8850000009834","1"
"8850000009833","1"
"8850000009836","1"
"8850000010202","1"
"8850000010201","1"
"8850000010198","1"
"8850000010197","1"
"8850000010200","1"
"8850000010199","1"
"8850000008949","1"
"8850000008948","1"
"8850000012008","1"
"8850000012009","1"
"8850000012006","1"
"8850000012005","1"
"8850000012007","1"
"8850000012003","1"
"8850000012004","1"
"8850000012001","1"
"8850000012000","1"
"8850000012002","1"
"8850000005564","1"
"8850000005562","1"
"8850000005563","1"
"8850000004942","1"
"8850000004940","1"
"8850000004939","1"
"8850000004938","1"
"8850000004941","1"
"8850000005876","1"
"8850000005874","1"
"8850000005873","1"
"8850000005872","1"
"8850000005875","1"
"8850000004945","1"
"8850000004943","1"
"8850000004944","1"
"8850000005871","1"
"8850000005869","1"
"8850000005868","1"
"8850000005867","1"
"8850000005870","1"
"8850000005561","1"
"8850000005559","1"
"8850000005558","1"
"8850000005560","1"
"8850000007052","1"
"8850000007053","1"
"8850000007050","1"
"8850000007049","1"
"8850000007048","1"
"8850000007051","1"
"8850000007058","1"
"8850000007059","1"
"8850000007056","1"
"8850000007055","1"
"8850000007054","1"
"8850000007057","1"
"8850000007070","1"
"8850000007071","1"
"8850000007068","1"
"8850000007067","1"
"8850000007066","1"
"8850000007069","1"
"8850000007064","1"
"8850000007065","1"
"8850000007062","1"
"8850000007061","1"
"8850000007060","1"
"8850000007063","1"
"8850000008951","1"
"8850000008950","1"
"8850000009286","1"
"8850000009285","1"
"8850000009284","1"
"8850000009287","1"
"8850000017945","1"
"8850000017946","1"
"8850000017943","1"
"8850000017942","1"
"8850000017941","1"
"8850000017944","1"
"8850000012078","1"
"8850000012077","1"
"8850000012076","1"
"8850000012079","1"
